No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
560,RS Indah Medika,"Jl. Tebet Raya No. 4-6,Jaksel",,Jakarta Selatan,106.8482392,-6.229462272,7.121054,0.026494
561,RSU Tria Dipa,"Jl. Raya Pasar Minggu No.3A,Jaksel",,Jakarta Selatan,106.842652,-6.250482474,6.918422,0.273713
562,RS LPK Cipinang,"Jl. Bekasi Timur 170,Jaktim",,Jakarta Timur,106.8928079,-6.209757504,7.763547,0.205931
563,RSU Kartika Pulo Mas,Jl. Pulo Mas Barat IV Jaktim,,Jakarta Timur,106.8850982,-6.1740624,0.500025,0.366464
564,RS Harum,"Jl. Tarum Barat, Kalimalang",,Jakarta Timur,106.9092665,-6.247691077,7.599065,0.302913
565,RS Harapan Jayakarta,Jl. Bekasi Timur No. 6 Jaktim,,Jakarta Timur,106.9061273,-6.194922075,7.335894,0.165018
566,RS Dharma Nugraha,Jl. Balai Pustaka Baru 9 Jaktim,,Jakarta Timur,106.8545979,6.199341044,8.225068,0.203576
567,RS Mediros,"Jl. P.Kemerdekaan 149,Jaktim",,Jakarta Timur,106.9038219,-6.179627359,7.368373,0.027476
568,RS Husada,Jl. Raya Mangga Besar No.137/139 Jakpus,,Jakarta Pusat,106.8346345,-6.148721329,8.061483,0.108896
569,RS Pertamina Jaya,Jl. A. Yani No. 2 By Pass Jakarta Pusat,,Jakarta Pusat,106.8760908,-6.173286517,6.783959,0.183845
570,RS Moh Husni Thamrin,Jl. Salemba Tengah 24-28 Jakpus,,Jakarta Pusat,106.8519983,-6.193548672,8.018826,0.203576
571,RS Abdi Waluyo,Jl. Hos Cokroaminoto 31-33 Jakarta Pusat,,Jakarta Pusat,106.8290294,-6.18968709,7.721336,0.146845
572,RS Pelni Petamburan,Jl. K. S. Tubun 92-94 Jakbar,,Jakarta Barat,106.8053248,-6.193432735,7.150519,0.015133
573,RS Trisna Pangastuti,Jl. KS Tubun No.79 Slipi Jakbar,,Jakarta Barat,106.8009995,-6.19921173,7.483233,0.141422
574,RSU Al-Kamal,Jl. Raya Al Kamal Kebon Jeruk Jakbar,,Jakarta Barat,106.7620181,-6.187225667,9.017568,0.398969
575,RS Patria IKKT,Jl. Cendrawasih 1 Slipi Jakbar,,Jakarta Barat,106.7926699,-6.196955425,9.139285,0.260904
576,RS Medika Permata Hijau,Jl. Kebayoran Lama No.64 Jakarta Barat,,Jakarta Barat,106.7779995,-6.218350192,6.686843,0.352969
577,RS Puri Mandiri Kedoya,"Jl. Raya Kedoya No.2,Kelurahan Kedoya Jakbar",,Jakarta Barat,106.7622009,-6.188220046,9.017568,0.398969
578,RS Royal Taruma,"Jl. Daan Mogot No.34,Jakarta Barat",,Jakarta Barat,106.7850226,-6.166365992,8.346493,0.296945
579,RS Puri Indah,"Jl. Puri Indah Raya,Blok S-2,Kel.Kembangan Selatan,Jakbar",,Jakarta Barat,106.7407258,-6.185856723,0.943699,0.094426
580,RS Akademik Atma Jaya,Jl. Pluit Raya Jakarta Utara,,Jakarta Utara,106.7930534,-6.126684452,7.858056,0.116339
581,RS Satya Negara,Jl. Agung Utara Raya No. 1 Jakut,,Jakarta Utara,106.8585933,-6.137586954,0.759129,0.085533
582,RS Pluit,Jl. Raya Pluit Selatan 2 Jakut,,Jakarta Utara,106.7983374,-6.125578595,6.185496,0.168352
583,RS Port Medical Center,"Jl. Enggano No.10 Tanjung Priok, Jakarta Utara",,Jakarta Utara,106.8878628,-6.110756543,7.528811,0.111477
584,RS Gading Pluit,"Jl. Boulevard Timur Raya Pegangsaan Dua,Kelapa Gading",,Jakarta Utara,106.9169228,-6.166379369,7.341371,0.130536
585,RS Mulyasari,"Jl. Raya Plumpung Semper No.19 RT.006/RW.015, Jakarta Utara",0,JAKARTA UTARA,106.9173196,-6.129400044,7.310132,0.112175
586,RS PAD Gatot Soebroto,Jl. Dr A Rahman Saleh No. 24 Jakarta Pusat,1,Jakarta Pusat,106.8387146,-6.176171555,7.925424,0.369996
587,Rumkit Tk II M.Ridwan Meuraksa,"Jl. Kramat Raya No.174, Jakarta Pusat",2,Kota Jakarta Pusat,106.8466072,-6.191751654,8.018826,0.205483
588,RS Halim Perdana Kusuma,"Jl. Merpati No. 2 Halim Perdana Kusuma, Jakarta",2,Jakarta Timur,106.8939985,-6.262080596,1.052684,0.121273
589,RS Kepolisian Pusat,"Kramat Jati,Jakarta Timur",2,Jakarta Timur,106.87618,-6.275765577,6.513484,0.414746
590,RS AL Dr Mintoharjo,Jl. Bendungan Hilir 17 Jakpus,2,Jakarta Pusat,106.8120001,-6.210948084,6.424945,0.012259
